as_of_year,state_abbr,loan_purpose_name,loan_type_name,action_taken_name,count
2007,FL,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,FL,Refinancing,FHA-insured,Loan originated,8898
2007,FL,Refinancing,FHA-insured,Application denied by financial institution,5837
2007,FL,Refinancing,FHA-insured,Application approved but not accepted,965
2007,FL,Refinancing,Conventional,Loan originated,352802
2007,FL,Refinancing,Conventional,Application denied by financial institution,304622
2007,FL,Refinancing,Conventional,Application approved but not accepted,90930
2007,FL,Home purchase,VA-guaranteed,Loan originated,6823
2007,FL,Home purchase,VA-guaranteed,Application denied by financial institution,1016
2007,FL,Home purchase,VA-guaranteed,Application approved but not accepted,372
2007,FL,Home purchase,FSA/RHS-guaranteed,Loan originated,758
2007,FL,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,155
2007,FL,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,18
2007,FL,Home purchase,FHA-insured,Loan originated,14793
2007,GA,Refinancing,Conventional,Application approved but not accepted,32359
2007,GA,Home purchase,VA-guaranteed,Loan originated,6144
2007,GA,Home purchase,VA-guaranteed,Application denied by financial institution,607
2007,GA,Home purchase,VA-guaranteed,Application approved but not accepted,294
2007,GA,Home purchase,FSA/RHS-guaranteed,Loan originated,370
2007,GA,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,71
2007,GA,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,5
2007,GA,Home purchase,FHA-insured,Loan originated,16123
2007,GA,Home purchase,FHA-insured,Application denied by financial institution,4148
2007,GA,Home purchase,FHA-insured,Application approved but not accepted,772
2007,GA,Home purchase,Conventional,Loan originated,153413
2007,GA,Home purchase,Conventional,Application denied by financial institution,44112
2007,GA,Home purchase,Conventional,Application approved but not accepted,19682
2007,FL,Refinancing,VA-guaranteed,Loan originated,1157
2007,FL,Refinancing,VA-guaranteed,Application denied by financial institution,451
2007,FL,Refinancing,VA-guaranteed,Application approved but not accepted,161
2007,HI,Home purchase,FHA-insured,Application denied by financial institution,84
2007,HI,Home purchase,FHA-insured,Application approved but not accepted,88
2007,HI,Home purchase,Conventional,Loan originated,15500
2007,HI,Home purchase,Conventional,Application denied by financial institution,3366
